AcademicYear,OffenseCount,OffenseType,CourseLevel,Campus,Faculty,Outcome,Year
2017-18,DC,MISC,UG1,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG3,OL,FACT,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,OL,EDSW,ASM0,AY2017-18
2017-18,DC,PLAG,UG3,KAM,ARTS,REME,AY2017-18
2017-18,NO1,FABR,UG1,OL,ARTS,REPR,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,REPR,AY2017-18
2017-18,NO3,CHEAT,UG1,KAM,SCIENCE,FAIL,AY2017-18
2017-18,NO1,PLAG,UG3,KAM,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG2,OL,ARTS,REPR,AY2017-18
2017-18,NO1,PLAG,UG2,OL,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG4,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,MISC,UG2,OL,ARTS,DISM,AY2017-18
2017-18,NO2,PLAG,UG1,KAM,SOBE,ASM0,AY2017-18
2017-18,NO3,PLAG,UG1,OL,ARTS,REPR,AY2017-18
2017-18,NO1,MISC,UG3,KAM,ARTS,DISM,AY2017-18
2017-18,NO1,CHEAT,UPREP,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,SUSP,AY2017-18
2017-18,NO1,PLAG,UG3,OL,ARTS,FAIL,AY2017-18
2017-18,NO2,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,PLAG,UG1,KAM,ARTS,REME,AY2017-18
2017-18,NO3,PLAG,UG1,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,OL,SCIENCE,ASM0,AY2017-18
2017-18,NO4,PLAG,UG1,OL,SOBE,SUSP,AY2017-18
2017-18,NO5,PLAG,UG1,OL,ARTS,FAIL,AY2017-18
2017-18,NO1,PLAG,UG1,OL,SOBE,ASM0,AY2017-18
2017-18,NO2,PLAG,UG2,KAM,ARTS,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG1,OL,ARTS,FAIL,AY2017-18
2017-18,NO2,CHEAT,UG3,KAM,SOBE,ASM0,AY2017-18
2017-18,NO1,CHEAT,UG3,KAM,ARTS,ASM0,AY2017-18
